hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M1-iMac,1000,34.76,33.754,0.332761,1.9168,16.9,4.01,0.23
M1-iMac,2000,71.47,31.959,0.144872,0.2031,23.4,4.51,0.23
M1-iMac,3000,106.64,33.202,0.117306,0.2153,19.0,4.44,0.23
M1-iMac,4000,143.65,31.627,0.105494,0.2426,24.9,4.34,0.23
M1-iMac,5000,178.1,33.846,0.096881,0.287,15.4,4.3,0.23
M1-iMac,6000,212.41,33.997,0.091094,0.3648,13.0,4.22,0.23
M1-iMac,7000,246.78,33.961,0.086339,0.4317,13.0,4.23,0.23
M1-iMac,8000,281.44,33.634,0.082816,0.4949,14.1,4.19,0.23
M1-iMac,9000,315.86,33.898,0.079769,0.579,13.1,4.34,0.23
M1-iMac,10000,350.5,33.628,0.077392,0.583,21.9,4.19,0.23
M1-iMac,11000,386.97,32.135,0.075125,0.6031,25.7,4.38,0.23
M1-iMac,12000,423.44,32.149,0.073414,0.5629,21.7,4.46,0.23
M1-iMac,13000,460.4,31.508,0.072068,0.5661,22.6,4.33,0.23
M1-iMac,14000,495.88,32.884,0.071117,0.5655,16.9,4.43,0.23
M1-iMac,15000,532.11,32.332,0.070061,0.5636,20.1,4.27,0.23
M1-iMac,16000,566.59,33.831,0.06934,0.5638,14.1,4.18,0.23
M1-iMac,17000,600.91,33.983,0.068503,0.519,12.8,4.19,0.23
M1-iMac,18000,635.25,33.958,0.068372,0.5442,12.7,4.18,0.23
M1-iMac,19000,669.61,33.956,0.067517,0.5151,13.1,4.18,0.23
M1-iMac,20000,703.95,33.951,0.067204,0.5316,12.5,4.31,0.23
M1-iMac,21000,738.55,33.762,0.066135,0.5342,14.6,4.24,0.23
M1-iMac,22000,773.03,33.801,0.06599,0.5077,14.6,4.3,0.23
M1-iMac,23000,807.35,33.975,0.065534,0.5239,12.6,4.16,0.23
M1-iMac,24000,841.86,33.759,0.065335,0.5175,18.8,4.08,0.23
M1-iMac,25000,877.3,32.799,0.06482,0.5019,39.0,4.09,0.23
M1-iMac,26000,912.44,32.969,0.065032,0.4868,32.8,4.12,0.23
M1-iMac,27000,948.87,31.954,0.064455,0.4797,56.6,4.12,0.23
M1-iMac,28000,984.9,32.247,0.064228,0.4907,54.1,4.09,0.23
M1-iMac,29000,1020.07,32.948,0.06429,0.4865,34.4,4.1,0.23
M1-iMac,30000,1055.39,32.787,0.063243,0.4732,40.5,4.03,0.23
M1-iMac,31000,1090.86,32.707,0.063288,0.4732,35.6,4.09,0.23
M1-iMac,32000,1129.15,31.105,0.063755,0.4792,48.8,4.11,0.23
M1-iMac,33000,1164.28,33.154,0.063227,0.4603,35.9,4.04,0.23
M1-iMac,34000,1198.73,33.8,0.06309,0.4621,20.8,4.04,0.23
M1-iMac,35000,1233.28,33.736,0.062532,0.458,18.2,4.05,0.23
M1-iMac,36000,1268.3,33.279,0.063425,0.445,23.7,4.06,0.23
M1-iMac,37000,1302.67,33.837,0.062357,0.4444,20.3,4.07,0.23
M1-iMac,38000,1337.11,33.79,0.062311,0.447,22.0,4.08,0.23
M1-iMac,39000,1371.56,33.872,0.062382,0.4206,16.2,4.07,0.23
M1-iMac,40000,1405.88,33.997,0.062238,0.4229,13.1,4.08,0.23
M1-iMac,41000,1441.01,33.29,0.061496,0.4196,28.9,3.92,0.23
M1-iMac,42000,1474.8,34.614,0.061511,0.4228,15.3,4.04,0.23
M1-iMac,43000,1508.46,34.777,0.061635,0.4254,14.3,4.02,0.23
M1-iMac,44000,1542.08,34.836,0.061205,0.4174,11.6,4.01,0.23
M1-iMac,45000,1575.8,34.748,0.061331,0.4092,13.3,3.99,0.23
M1-iMac,46000,1609.43,34.837,0.061542,0.4208,11.5,4.0,0.23
M1-iMac,47000,1643.08,34.795,0.060879,0.3905,12.1,4.0,0.23
M1-iMac,48000,1676.69,34.815,0.060614,0.4089,13.1,4.01,0.23
M1-iMac,49000,1710.33,34.8,0.060781,0.4018,16.1,3.99,0.23
M1-iMac,50000,1744.05,34.751,0.060912,0.3931,13.5,3.98,0.23
M1-iMac,51000,1777.79,34.777,0.060856,0.4,13.6,3.97,0.23
M1-iMac,52000,1811.56,34.716,0.060302,0.4002,12.1,4.07,0.23
M1-iMac,53000,1845.3,34.736,0.060503,0.387,13.9,4.01,0.23
M1-iMac,54000,1878.98,34.795,0.060349,0.3797,12.5,3.97,0.23
M1-iMac,55000,1912.62,34.814,0.060388,0.3772,11.7,3.98,0.23
M1-iMac,56000,1946.29,34.789,0.059965,0.3715,11.8,3.95,0.23
M1-iMac,57000,1979.94,34.806,0.059901,0.3826,11.9,4.0,0.23
M1-iMac,58000,2013.58,34.817,0.060274,0.37,12.7,4.0,0.23
M1-iMac,59000,2047.25,34.79,0.059911,0.3794,12.2,4.0,0.23
M1-iMac,60000,2080.89,34.813,0.059617,0.3668,11.5,4.0,0.23
M1-iMac,61000,2114.67,34.78,0.059445,0.3698,14.2,3.98,0.23
M1-iMac,62000,2148.34,34.787,0.059426,0.3537,11.8,3.95,0.23
M1-iMac,63000,2182.02,34.897,0.059516,0.3615,12.9,3.92,0.23
M1-iMac,64000,2215.65,34.827,0.059469,0.3547,11.6,3.89,0.23
M1-iMac,65000,2249.29,34.821,0.059467,0.3423,11.6,3.9,0.23
M1-iMac,66000,2282.93,34.816,0.059708,0.3509,11.5,3.9,0.23
M1-iMac,67000,2316.54,34.828,0.059284,0.3383,12.3,3.95,0.23
M1-iMac,68000,2350.2,34.789,0.059572,0.3442,11.7,3.95,0.23
M1-iMac,69000,2383.83,34.816,0.059175,0.341,11.9,3.95,0.23
M1-iMac,70000,2417.49,34.782,0.059333,0.3353,11.8,3.95,0.23
M1-iMac,71000,2451.35,34.681,0.059404,0.3373,14.8,3.9,0.23
M1-iMac,72000,2485.07,34.718,0.058674,0.3268,13.3,3.89,0.23
M1-iMac,73000,2518.79,34.717,0.059122,0.3259,12.9,3.91,0.23
M1-iMac,74000,2552.48,34.739,0.059186,0.3249,11.8,3.92,0.23
M1-iMac,75000,2586.16,34.758,0.058391,0.3216,11.7,3.94,0.23
M1-iMac,76000,2624.96,30.164,0.058977,0.3183,25.8,4.38,0.23
M1-iMac,77000,2659.48,33.777,0.058614,0.3118,14.6,4.25,0.23
M1-iMac,78000,2693.89,33.847,0.058755,0.3099,12.7,4.37,0.23
M1-iMac,79000,2728.35,33.81,0.058599,0.3077,13.3,4.2,0.23
M1-iMac,80000,2762.88,33.772,0.059152,0.2995,13.2,4.17,0.23
M1-iMac,81000,2797.51,33.732,0.058818,0.3033,14.5,4.13,0.23
M1-iMac,82000,2832.06,33.727,0.0588,0.3006,14.6,4.23,0.23
M1-iMac,83000,2866.41,33.961,0.058093,0.2897,12.8,4.3,0.23
M1-iMac,84000,2900.72,33.968,0.058584,0.288,13.5,4.12,0.23
M1-iMac,85000,2935.14,33.906,0.058389,0.2934,14.1,4.33,0.23
M1-iMac,86000,2969.72,33.734,0.058775,0.2809,18.9,4.24,0.23
M1-iMac,87000,3004.09,33.938,0.058698,0.2841,13.1,4.1,0.23
M1-iMac,88000,3038.5,33.919,0.058306,0.2844,14.2,4.12,0.23
