iteration,loss,bps,grad_norm
1000,0.332761,33.754,1.9168
2000,0.144872,31.959,0.2031
3000,0.117306,33.202,0.2153
4000,0.105494,31.627,0.2426
5000,0.096881,33.846,0.287
6000,0.091094,33.997,0.3648
7000,0.086339,33.961,0.4317
8000,0.082816,33.634,0.4949
9000,0.079769,33.898,0.579
10000,0.077392,33.628,0.583
11000,0.075125,32.135,0.6031
12000,0.073414,32.149,0.5629
13000,0.072068,31.508,0.5661
14000,0.071117,32.884,0.5655
15000,0.070061,32.332,0.5636
16000,0.06934,33.831,0.5638
17000,0.068503,33.983,0.519
18000,0.068372,33.958,0.5442
19000,0.067517,33.956,0.5151
20000,0.067204,33.951,0.5316
21000,0.066135,33.762,0.5342
22000,0.06599,33.801,0.5077
23000,0.065534,33.975,0.5239
24000,0.065335,33.759,0.5175
25000,0.06482,32.799,0.5019
26000,0.065032,32.969,0.4868
27000,0.064455,31.954,0.4797
28000,0.064228,32.247,0.4907
29000,0.06429,32.948,0.4865
30000,0.063243,32.787,0.4732
31000,0.063288,32.707,0.4732
32000,0.063755,31.105,0.4792
33000,0.063227,33.154,0.4603
34000,0.06309,33.8,0.4621
35000,0.062532,33.736,0.458
36000,0.063425,33.279,0.445
37000,0.062357,33.837,0.4444
38000,0.062311,33.79,0.447
39000,0.062382,33.872,0.4206
40000,0.062238,33.997,0.4229
41000,0.061496,33.29,0.4196
42000,0.061511,34.614,0.4228
43000,0.061635,34.777,0.4254
44000,0.061205,34.836,0.4174
45000,0.061331,34.748,0.4092
46000,0.061542,34.837,0.4208
47000,0.060879,34.795,0.3905
48000,0.060614,34.815,0.4089
49000,0.060781,34.8,0.4018
50000,0.060912,34.751,0.3931
51000,0.060856,34.777,0.4
52000,0.060302,34.716,0.4002
53000,0.060503,34.736,0.387
54000,0.060349,34.795,0.3797
55000,0.060388,34.814,0.3772
56000,0.059965,34.789,0.3715
57000,0.059901,34.806,0.3826
58000,0.060274,34.817,0.37
59000,0.059911,34.79,0.3794
60000,0.059617,34.813,0.3668
61000,0.059445,34.78,0.3698
62000,0.059426,34.787,0.3537
63000,0.059516,34.897,0.3615
64000,0.059469,34.827,0.3547
65000,0.059467,34.821,0.3423
66000,0.059708,34.816,0.3509
67000,0.059284,34.828,0.3383
68000,0.059572,34.789,0.3442
69000,0.059175,34.816,0.341
70000,0.059333,34.782,0.3353
71000,0.059404,34.681,0.3373
72000,0.058674,34.718,0.3268
73000,0.059122,34.717,0.3259
74000,0.059186,34.739,0.3249
75000,0.058391,34.758,0.3216
76000,0.058977,30.164,0.3183
77000,0.058614,33.777,0.3118
78000,0.058755,33.847,0.3099
79000,0.058599,33.81,0.3077
80000,0.059152,33.772,0.2995
81000,0.058818,33.732,0.3033
82000,0.0588,33.727,0.3006
83000,0.058093,33.961,0.2897
84000,0.058584,33.968,0.288
85000,0.058389,33.906,0.2934
86000,0.058775,33.734,0.2809
87000,0.058698,33.938,0.2841
88000,0.058306,33.919,0.2844
89000,0.057969,33.927,0.2824
90000,0.058544,33.949,0.2782
91000,0.058597,33.54,0.2708
92000,0.058396,33.7,0.2773
93000,0.05876,33.954,0.27
94000,0.059141,33.951,0.2679
95000,0.058327,33.194,0.2712
96000,0.058643,33.753,0.266
97000,0.058313,33.698,0.2662
98000,0.058484,33.721,0.2629
99000,0.058524,33.767,0.262
100000,0.058289,33.778,0.2621
