hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
Google Colab G4 NVIDIA RTX 6000,1000,5.44,303.51,0.332848,1.9097,5.3,4.24,0.042
Google Colab G4 NVIDIA RTX 6000,2000,10.87,302.0,0.144839,0.2031,3.5,4.63,0.042
Google Colab G4 NVIDIA RTX 6000,3000,16.16,313.559,0.117328,0.2146,2.6,4.68,0.042
Google Colab G4 NVIDIA RTX 6000,4000,21.48,310.378,0.105546,0.2426,2.6,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,5000,26.79,312.256,0.096883,0.2887,2.9,4.83,0.042
Google Colab G4 NVIDIA RTX 6000,6000,32.08,313.053,0.091077,0.3656,2.3,4.86,0.042
Google Colab G4 NVIDIA RTX 6000,7000,37.38,313.922,0.086319,0.4371,5.2,4.78,0.042
Google Colab G4 NVIDIA RTX 6000,8000,42.64,315.521,0.08283,0.502,2.2,4.78,0.042
Google Colab G4 NVIDIA RTX 6000,9000,47.91,315.484,0.079765,0.5563,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,10000,53.18,315.163,0.077339,0.5718,2.2,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,11000,58.48,314.361,0.075041,0.6067,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,12000,63.74,315.744,0.073394,0.5725,2.2,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,13000,69.02,314.401,0.072071,0.5548,2.4,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,14000,74.28,315.919,0.07111,0.5466,2.3,4.77,0.042
Google Colab G4 NVIDIA RTX 6000,15000,79.69,302.262,0.070046,0.5748,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,16000,85.09,304.165,0.069302,0.5605,2.2,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,17000,90.34,316.663,0.068519,0.5504,2.5,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,18000,95.58,317.067,0.068407,0.5554,2.2,4.77,0.042
Google Colab G4 NVIDIA RTX 6000,19000,100.83,316.576,0.067586,0.5327,2.5,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,20000,106.07,318.526,0.067213,0.5404,2.2,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,21000,111.31,317.724,0.066127,0.5137,2.5,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,22000,116.55,317.69,0.065971,0.5242,2.2,4.77,0.042
Google Colab G4 NVIDIA RTX 6000,23000,121.79,318.01,0.065508,0.5394,2.5,4.77,0.042
Google Colab G4 NVIDIA RTX 6000,24000,127.02,317.672,0.06535,0.5176,2.2,4.77,0.042
Google Colab G4 NVIDIA RTX 6000,25000,132.28,316.252,0.064801,0.5029,2.4,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,26000,137.55,315.372,0.065044,0.4943,2.2,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,27000,142.83,313.981,0.064433,0.4774,2.4,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,28000,148.13,313.063,0.064137,0.4786,2.2,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,29000,153.41,314.129,0.064288,0.4916,2.4,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,30000,158.67,316.095,0.063298,0.4742,2.2,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,31000,163.94,315.834,0.063272,0.4772,2.4,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,32000,169.32,314.43,0.063766,0.4775,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,33000,174.59,315.183,0.063232,0.4747,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,34000,179.86,316.077,0.063089,0.4651,2.2,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,35000,185.11,316.675,0.062484,0.4658,2.4,4.76,0.042
Google Colab G4 NVIDIA RTX 6000,36000,190.35,317.086,0.063443,0.4437,2.2,4.75,0.042
Google Colab G4 NVIDIA RTX 6000,37000,195.59,318.288,0.062333,0.444,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,38000,200.84,316.642,0.062321,0.4471,2.2,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,39000,206.08,318.008,0.06236,0.4242,2.4,4.74,0.042
Google Colab G4 NVIDIA RTX 6000,40000,211.31,317.384,0.062259,0.4279,2.1,4.75,0.042
