hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,1000,26.05,50.827,0.328291,1.8053,7.6,48.86,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,2000,52.23,50.978,0.13341,0.1014,8.3,48.86,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,3000,78.42,50.992,0.106045,0.126,7.4,48.83,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,4000,104.64,50.921,0.09251,0.1872,7.7,49.01,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,5000,130.88,50.882,0.084603,0.2826,7.8,48.72,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,6000,157.1,50.946,0.078985,0.3803,7.5,48.74,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,7000,183.35,50.927,0.075625,0.435,7.3,48.9,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,8000,209.73,50.518,0.072976,0.44,8.6,48.88,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,9000,236.03,50.6,0.071135,0.5494,8.4,48.9,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,10000,262.31,50.826,0.069491,0.5665,7.6,48.89,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,11000,288.58,50.91,0.067731,0.5232,7.6,48.92,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,12000,314.8,50.976,0.06676,0.5809,8.4,48.92,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,13000,341.0,50.96,0.065912,0.5446,9.2,48.96,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,14000,367.23,50.973,0.06509,0.5414,8.2,48.98,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,15000,393.52,50.936,0.064415,0.497,9.1,48.98,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,16000,419.8,50.94,0.06366,0.4954,9.0,49.01,1.185
M5-Max-Cosine-bs256-K30-RTG16585-nh2-newDTarch,17000,446.03,50.938,0.063379,0.4924,8.8,48.98,1.185
