hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,1000,12.29,99.405,0.524518,0.794,5.9,40.11,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,2000,24.23,102.405,0.219441,0.1261,10.1,40.08,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,3000,36.2,102.092,0.172118,0.1135,10.2,40.12,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,4000,48.15,102.274,0.152234,0.1089,9.8,40.19,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,5000,60.15,101.744,0.141352,0.1083,10.6,40.3,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,6000,72.2,101.638,0.133667,0.1064,10.1,40.17,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,7000,84.31,101.186,0.12683,0.1057,10.1,40.2,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,8000,96.44,100.95,0.12096,0.1055,11.1,41.13,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,9000,108.61,100.617,0.115516,0.1058,10.9,41.2,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,10000,120.78,100.762,0.110555,0.1059,11.3,40.85,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,11000,132.97,100.772,0.106293,0.1068,11.3,40.27,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,12000,145.09,101.057,0.102631,0.1064,10.6,40.32,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,13000,157.24,100.821,0.099665,0.1045,10.5,40.37,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,14000,169.36,100.958,0.097417,0.105,11.0,40.46,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,15000,181.47,101.192,0.095286,0.105,10.1,40.49,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,16000,193.59,100.963,0.093947,0.1059,12.4,40.42,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,17000,205.69,101.23,0.092115,0.1048,10.4,40.45,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,18000,217.82,100.94,0.091133,0.1056,11.1,40.69,0.349
M5-Max-GPT-Cos-gelu-bs64-K20-RTG16585-nh2,19000,229.93,101.285,0.089665,0.1054,10.4,40.55,0.349
