hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,1000,11.91,103.353,0.567983,0.883,8.8,27.52,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,2000,23.78,103.471,0.209392,0.1291,11.9,27.73,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,3000,35.33,106.443,0.166223,0.1146,11.2,27.66,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,4000,48.01,96.378,0.147434,0.1104,16.2,27.72,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,5000,59.46,107.568,0.135995,0.1116,10.8,27.71,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,6000,71.26,103.97,0.128377,0.1128,11.8,27.81,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,7000,82.92,105.314,0.12157,0.1151,12.2,27.64,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,8000,94.54,105.741,0.115792,0.1182,11.0,27.66,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,9000,106.18,105.64,0.11052,0.1221,9.7,27.72,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,10000,117.87,105.141,0.105873,0.1272,10.3,27.64,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,11000,129.63,104.977,0.101951,0.1303,10.3,27.68,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,12000,141.37,104.765,0.098673,0.1329,10.3,27.69,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,13000,153.12,104.867,0.09606,0.1337,9.8,27.74,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,14000,164.89,104.632,0.094081,0.1355,9.9,27.81,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,15000,176.66,104.632,0.092198,0.1369,10.7,27.79,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,16000,188.38,104.984,0.091151,0.14,9.8,27.77,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,17000,200.06,105.251,0.089556,0.1396,9.9,27.82,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,18000,211.75,105.217,0.088842,0.14,9.8,27.87,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,19000,223.44,105.145,0.087502,0.1401,9.9,27.94,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,20000,235.12,105.151,0.08685,0.1406,9.7,27.87,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,21000,246.93,104.631,0.085454,0.1406,11.2,27.85,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,22000,258.66,104.935,0.084857,0.1414,10.2,27.91,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,23000,270.35,105.394,0.084132,0.1417,10.6,27.97,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,24000,282.12,104.629,0.083696,0.1419,12.3,28.04,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,25000,293.82,105.151,0.082653,0.1401,10.1,27.97,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,26000,305.54,105.086,0.082772,0.1409,11.1,28.08,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,27000,317.28,104.854,0.081998,0.1405,12.8,28.29,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,28000,329.03,104.908,0.08126,0.1408,10.7,28.33,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,29000,340.75,105.121,0.081274,0.1405,11.0,28.37,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,30000,352.49,105.104,0.07994,0.1406,10.1,28.3,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,31000,364.27,104.933,0.079778,0.14,10.3,28.31,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,32000,376.05,105.075,0.079998,0.1402,10.4,28.36,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,33000,387.79,105.119,0.079325,0.1398,10.1,28.38,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,34000,399.68,103.683,0.078981,0.1416,11.6,28.75,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,35000,411.46,104.556,0.078207,0.1393,10.9,28.42,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,36000,423.26,104.509,0.079158,0.1397,11.3,28.48,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,37000,435.03,104.822,0.077687,0.1394,10.5,28.5,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,38000,446.8,104.776,0.077418,0.1384,10.4,28.53,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,39000,458.58,104.817,0.077414,0.1392,10.5,28.56,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,40000,470.33,104.951,0.077223,0.1389,10.3,28.58,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,41000,482.16,104.582,0.076225,0.1368,10.1,28.62,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,42000,493.9,104.92,0.076126,0.1379,9.8,28.62,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,43000,505.64,105.053,0.07603,0.1379,9.7,28.67,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,44000,517.38,104.999,0.075668,0.1373,10.0,28.72,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,45000,529.12,105.074,0.075662,0.1375,9.7,28.74,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,46000,540.9,104.704,0.075683,0.1372,9.8,28.81,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,47000,552.67,104.721,0.075041,0.1381,9.9,28.83,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,48000,564.41,104.954,0.074514,0.1357,9.5,28.83,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,49000,576.16,105.028,0.074794,0.1368,9.9,28.86,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,50000,587.89,105.082,0.07466,0.1369,9.6,28.87,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,51000,599.73,104.388,0.074635,0.1376,10.1,28.89,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,52000,611.53,104.271,0.07397,0.1368,10.2,29.06,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,53000,623.51,102.913,0.074083,0.1359,11.5,28.82,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,54000,635.3,104.481,0.073897,0.1359,10.7,29.11,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,55000,647.06,104.785,0.073737,0.1358,10.1,29.01,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,56000,658.81,104.8,0.073264,0.1348,9.8,29.0,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,57000,670.56,104.867,0.073315,0.1357,9.9,29.05,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,58000,682.32,104.779,0.073592,0.136,9.7,29.1,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,59000,694.08,104.867,0.073127,0.1364,9.6,29.16,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,60000,705.87,104.533,0.072945,0.1371,10.2,29.07,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,61000,717.71,104.853,0.072561,0.1348,10.2,29.1,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,62000,729.46,105.163,0.072679,0.1357,10.1,29.15,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,63000,741.3,104.886,0.072694,0.1361,10.2,29.21,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,64000,753.06,105.07,0.072561,0.1349,10.3,29.3,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,65000,764.84,104.97,0.072469,0.1358,10.6,29.23,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,66000,776.65,104.54,0.072733,0.1346,10.5,29.26,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,67000,788.42,104.974,0.072322,0.1352,10.8,29.3,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,68000,800.22,104.701,0.072468,0.1357,10.5,29.49,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,69000,812.0,104.957,0.071967,0.1341,10.9,29.47,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,70000,823.76,105.012,0.072234,0.1348,10.8,29.43,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,71000,835.62,104.511,0.072298,0.135,11.4,29.98,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,72000,847.41,104.796,0.071535,0.1333,10.3,29.51,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,73000,859.2,104.794,0.071908,0.1335,10.2,29.47,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,74000,870.98,104.871,0.072119,0.1347,10.1,29.54,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,75000,882.79,104.668,0.071224,0.1337,10.6,29.48,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,76000,894.57,104.91,0.0718,0.1335,10.2,29.5,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,77000,906.35,104.846,0.071433,0.1336,10.0,29.57,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,78000,918.11,105.009,0.071517,0.1326,10.6,29.61,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,79000,929.9,104.875,0.071504,0.134,10.1,29.68,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,80000,941.68,104.822,0.071862,0.1331,10.8,29.6,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,81000,954.01,99.912,0.071605,0.1334,14.3,30.07,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,82000,965.81,104.297,0.071507,0.1327,10.6,29.67,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,83000,977.56,104.99,0.070759,0.1316,9.8,29.7,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,84000,989.29,105.143,0.071303,0.1328,9.4,29.74,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,85000,1001.02,105.142,0.071239,0.1338,9.4,29.76,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,86000,1012.73,105.288,0.071463,0.1314,9.3,29.78,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,87000,1024.46,105.157,0.071267,0.132,9.3,29.77,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,88000,1036.18,105.213,0.070984,0.1315,9.7,29.79,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,89000,1047.93,104.934,0.070656,0.1314,10.9,29.86,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,90000,1059.64,105.32,0.071177,0.1309,9.9,29.89,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,91000,1071.41,105.062,0.071246,0.1311,10.0,29.91,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,92000,1083.1,105.447,0.07109,0.1315,10.1,29.93,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,93000,1094.81,105.305,0.071412,0.1312,9.6,29.93,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,94000,1106.58,105.153,0.071808,0.131,11.4,30.0,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,95000,1118.3,105.295,0.07111,0.1313,9.5,30.0,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,96000,1130.02,105.174,0.071298,0.1309,11.6,30.05,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,97000,1141.77,104.904,0.071072,0.1318,10.6,30.08,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,98000,1153.46,105.593,0.07115,0.1302,9.5,30.09,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,99000,1165.16,105.456,0.071151,0.1305,10.1,30.1,0.248
M5-Max-GPT-Cos-unif-init-bs64-K20-RTG16585-nh2,100000,1176.88,105.302,0.070973,0.1301,10.3,31.0,0.248
