hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,1000,11.95,102.411,0.569615,0.8782,6.7,49.88,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,2000,23.81,103.126,0.219084,0.1266,9.9,49.38,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,3000,35.65,103.339,0.171102,0.1124,10.6,49.07,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,4000,47.5,103.232,0.151736,0.1076,10.6,49.11,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,5000,59.33,103.242,0.141033,0.1068,10.0,49.13,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,6000,71.21,103.002,0.13373,0.1056,10.2,49.16,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,7000,83.19,102.371,0.127128,0.1049,10.6,49.19,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,8000,95.2,102.092,0.121434,0.1043,9.4,49.21,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,9000,107.23,101.93,0.115944,0.1052,10.2,49.23,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,10000,119.23,102.152,0.110864,0.1053,9.9,49.27,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,11000,131.38,101.015,0.106516,0.1059,11.7,49.33,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,12000,143.38,102.184,0.10273,0.106,10.6,49.47,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,13000,155.4,102.026,0.099677,0.1047,10.7,49.35,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,14000,167.44,101.847,0.097348,0.1053,11.4,49.36,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,15000,179.84,98.679,0.095177,0.1051,13.2,49.58,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,16000,192.02,100.77,0.093836,0.1064,12.5,49.57,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,17000,204.18,100.916,0.09205,0.1056,11.4,49.57,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,18000,216.34,100.899,0.091051,0.1056,11.2,49.62,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,19000,228.5,100.997,0.089556,0.1056,12.5,49.67,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,20000,240.65,100.965,0.088735,0.1063,12.0,49.74,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,21000,252.83,101.068,0.087186,0.1056,12.0,49.6,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,22000,264.99,100.948,0.086425,0.1061,11.1,49.63,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,23000,277.19,100.634,0.08561,0.1057,12.0,49.72,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,24000,289.42,100.338,0.085091,0.1061,10.9,49.71,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,25000,301.57,101.024,0.083884,0.1053,10.6,49.74,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,26000,313.74,100.875,0.08393,0.106,10.6,49.66,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,27000,325.87,101.199,0.083076,0.1047,11.0,49.69,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,28000,338.08,100.536,0.082279,0.1052,10.9,49.72,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,29000,350.26,100.833,0.082191,0.1062,10.6,49.75,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,30000,362.41,100.986,0.080807,0.1051,11.5,49.7,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,31000,374.63,100.806,0.080502,0.1056,10.5,49.68,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,32000,386.8,101.082,0.080707,0.1057,10.0,49.71,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,33000,398.97,100.671,0.079982,0.1048,9.8,49.73,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,34000,411.09,101.086,0.079611,0.106,10.0,49.71,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,35000,423.75,96.525,0.078793,0.1049,14.7,49.21,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,36000,435.86,101.039,0.079672,0.106,10.8,49.2,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,37000,448.0,101.006,0.078214,0.1052,10.3,49.22,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,38000,460.17,100.672,0.077858,0.1042,10.6,49.23,0.349
M5-Max-GPT-Cos-unifinit-gelu-bs64-K20-RTG16585-nh2,39000,472.32,100.954,0.077823,0.1051,10.0,49.22,0.349
