hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,1000,11.61,106.416,0.521594,0.7992,2.5,35.0,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,2000,23.11,107.384,0.208921,0.1291,9.6,35.05,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,3000,34.62,107.304,0.165767,0.1152,9.3,35.06,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,4000,46.1,107.55,0.147824,0.1124,9.3,35.09,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,5000,57.61,107.345,0.136341,0.1146,9.4,35.13,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,6000,69.11,107.388,0.128407,0.1156,9.2,35.16,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,7000,80.62,107.367,0.121461,0.1181,9.6,35.49,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,8000,92.12,107.456,0.115586,0.1217,9.3,35.07,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,9000,103.61,107.48,0.110343,0.1257,9.2,35.08,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,10000,115.11,107.325,0.105898,0.1298,9.1,35.11,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,11000,126.71,106.385,0.102095,0.1329,9.8,35.17,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,12000,138.22,107.051,0.098908,0.1356,9.0,35.2,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,13000,149.75,106.815,0.096329,0.1365,11.6,35.21,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,14000,161.29,106.685,0.09437,0.138,8.7,35.23,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,15000,172.83,106.803,0.092521,0.1392,8.8,35.26,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,16000,184.39,106.396,0.091465,0.1423,8.8,35.28,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,17000,195.96,106.504,0.089883,0.1411,8.8,35.3,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,18000,207.54,106.366,0.089146,0.1419,9.0,35.28,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,19000,219.14,106.279,0.087811,0.1427,9.0,35.27,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,20000,230.75,106.139,0.087168,0.1432,8.9,35.25,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,21000,242.48,105.213,0.085786,0.1432,9.9,35.18,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,22000,254.12,106.094,0.085216,0.1437,8.8,35.19,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,23000,265.78,105.951,0.084514,0.1442,8.7,35.17,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,24000,277.44,105.964,0.084152,0.1454,8.9,35.17,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,25000,289.04,106.297,0.083063,0.143,9.0,35.11,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,26000,300.63,106.396,0.083198,0.1438,9.3,35.12,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,27000,312.22,106.281,0.082444,0.1434,8.8,35.12,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,28000,323.81,106.362,0.08177,0.1435,8.7,35.12,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,29000,335.4,106.249,0.08176,0.1439,8.9,35.12,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,30000,346.97,106.541,0.080503,0.1428,9.4,35.15,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,31000,358.73,104.684,0.080406,0.1441,11.6,35.13,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,32000,370.33,106.502,0.080651,0.1434,8.7,35.16,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,33000,381.88,106.614,0.079951,0.1423,10.4,35.2,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,34000,393.48,106.386,0.079675,0.1452,10.4,35.2,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,35000,405.09,106.324,0.078937,0.142,9.2,35.22,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,36000,416.72,106.219,0.079847,0.1431,9.3,35.23,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,37000,428.34,106.286,0.078474,0.1424,9.3,35.24,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,38000,439.95,106.441,0.078223,0.1421,9.2,35.26,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,39000,451.55,106.439,0.078229,0.1427,9.2,35.27,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,40000,463.17,106.39,0.078105,0.1434,9.3,35.28,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,41000,474.91,105.245,0.077078,0.1404,10.2,35.24,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,42000,486.52,106.309,0.07709,0.1417,9.3,35.29,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,43000,498.14,106.119,0.07686,0.1409,9.6,35.44,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,44000,509.75,106.326,0.076599,0.1408,9.1,35.3,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,45000,521.36,106.355,0.076568,0.1406,9.2,35.32,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,46000,532.97,106.291,0.076651,0.1415,9.2,35.34,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,47000,544.58,106.299,0.075967,0.1418,9.2,35.37,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,48000,556.19,106.317,0.075492,0.1387,9.1,35.38,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,49000,567.82,106.166,0.075752,0.1407,9.3,35.38,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,50000,579.45,106.207,0.07557,0.1398,9.2,35.4,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,51000,591.17,105.267,0.075599,0.1416,10.0,35.36,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,52000,602.78,106.311,0.074955,0.1395,9.3,35.39,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,53000,614.47,105.502,0.07503,0.1395,10.4,35.18,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,54000,626.07,106.514,0.074889,0.1394,9.5,34.98,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,55000,637.66,106.69,0.074726,0.1395,8.3,34.95,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,56000,649.27,106.408,0.074275,0.1384,8.7,35.07,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,57000,660.9,106.087,0.074295,0.1388,8.0,35.1,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,58000,672.52,106.224,0.074533,0.1387,8.5,35.19,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,59000,684.07,106.765,0.0741,0.139,9.4,35.21,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,60000,695.64,106.437,0.073892,0.1402,8.3,35.19,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,61000,707.33,105.665,0.073486,0.1384,8.8,34.9,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,62000,718.92,106.427,0.073718,0.1387,8.4,34.95,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,63000,730.56,106.397,0.073683,0.1392,8.4,34.97,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,64000,742.13,106.635,0.073535,0.1376,8.0,35.09,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,65000,753.72,106.277,0.073466,0.1389,10.5,35.09,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,66000,765.32,106.323,0.073741,0.1381,7.9,35.1,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,67000,776.92,106.293,0.073361,0.1387,7.9,35.11,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,68000,788.51,106.295,0.073436,0.1387,8.0,35.13,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,69000,800.09,106.488,0.072916,0.1373,8.5,35.28,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,70000,811.68,106.388,0.073203,0.1385,7.8,35.06,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,71000,823.39,105.484,0.073264,0.1385,8.2,35.13,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,72000,834.91,106.993,0.072515,0.1366,11.0,35.2,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,73000,846.48,106.551,0.072938,0.1367,10.7,35.24,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,74000,858.09,106.28,0.073067,0.1381,8.4,35.47,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,75000,869.67,106.551,0.072218,0.1365,13.0,35.24,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,76000,881.19,107.193,0.072811,0.1369,13.8,35.61,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,77000,892.73,106.928,0.072452,0.137,13.7,35.29,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,78000,904.29,106.975,0.072475,0.1354,13.7,35.3,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,79000,915.84,107.029,0.072476,0.1369,14.0,35.27,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,80000,927.42,106.703,0.072846,0.1362,14.0,35.24,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,81000,939.09,106.096,0.072606,0.1367,13.9,35.21,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,82000,950.64,107.072,0.072452,0.1357,13.7,35.23,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,83000,962.22,106.801,0.071727,0.1341,13.7,35.26,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,84000,973.77,107.009,0.072314,0.1358,14.5,35.38,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,85000,985.69,103.718,0.072198,0.1368,16.0,35.75,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,86000,997.97,100.296,0.072432,0.1339,14.2,34.16,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,87000,1010.33,99.417,0.072294,0.1349,13.1,34.35,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,88000,1022.4,101.902,0.071948,0.1342,11.9,34.1,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,89000,1033.92,107.114,0.071628,0.1342,9.0,34.08,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,90000,1045.38,107.806,0.072172,0.1338,8.7,34.12,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,91000,1057.26,103.933,0.072224,0.1338,10.9,34.48,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,92000,1069.25,102.702,0.072081,0.1347,12.1,34.19,0.248
M5-Max-GPT-Cos-wpez-bs64-K20-RTG16585-nh2,93000,1080.95,105.494,0.072371,0.1342,9.5,34.23,0.248
