hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,1000,9.35,139.018,0.332761,1.9168,8.8,21.69,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,2000,18.58,141.346,0.144872,0.2031,10.1,21.6,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,3000,27.77,141.643,0.117306,0.2153,9.8,21.58,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,4000,36.99,141.314,0.105494,0.2426,10.1,21.6,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,5000,46.2,141.34,0.096881,0.287,10.1,21.62,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,6000,55.43,141.155,0.091094,0.3648,10.0,21.59,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,7000,64.65,141.347,0.086339,0.4317,10.0,21.59,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,8000,73.88,141.068,0.082817,0.495,10.0,21.59,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,9000,83.13,140.866,0.079744,0.5631,10.0,21.61,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,10000,92.35,141.119,0.07737,0.5699,9.8,21.63,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,11000,101.78,137.92,0.075103,0.6101,11.2,21.69,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,12000,111.1,139.653,0.073371,0.5451,10.3,21.68,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,13000,120.43,139.666,0.072051,0.5765,10.1,21.69,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,14000,129.78,139.379,0.071108,0.5637,10.1,21.69,0.23
M5-Max-Cosine-bs64-K20-RTG16585-nh2-newDTarch,15000,139.16,139.138,0.070044,0.5534,10.6,21.71,0.23
