hardware,iteration,wall_clock_s,batches_per_second,mean_loss,mean_grad_norm,cpu_percent,ram_used_gb,gpu_mem_gb
Google Colab G4 NVIDIA RTX 6000,1000,15.36,138.977,0.328368,1.805,17.5,4.79,0.043
Google Colab G4 NVIDIA RTX 6000,2000,30.58,141.468,0.13339,0.1012,18.8,4.68,0.043
Google Colab G4 NVIDIA RTX 6000,3000,45.88,143.521,0.106041,0.1252,17.6,4.68,0.043
Google Colab G4 NVIDIA RTX 6000,4000,60.94,144.803,0.092449,0.191,18.0,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,5000,75.97,144.544,0.0846,0.2921,18.1,4.73,0.043
Google Colab G4 NVIDIA RTX 6000,6000,91.19,144.678,0.078894,0.3761,17.7,4.72,0.043
Google Colab G4 NVIDIA RTX 6000,7000,106.3,143.871,0.075544,0.4686,17.9,4.72,0.043
Google Colab G4 NVIDIA RTX 6000,8000,121.39,144.879,0.073082,0.514,17.8,4.72,0.043
Google Colab G4 NVIDIA RTX 6000,9000,136.66,144.265,0.071208,0.4832,17.8,4.78,0.043
Google Colab G4 NVIDIA RTX 6000,10000,151.68,144.797,0.069551,0.571,18.0,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,11000,166.75,144.401,0.067804,0.5485,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,12000,181.74,144.857,0.06678,0.5228,18.0,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,13000,196.79,144.802,0.065911,0.5379,17.8,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,14000,211.99,144.557,0.065052,0.4911,17.8,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,15000,227.02,144.509,0.064366,0.5241,17.9,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,16000,242.15,144.564,0.063675,0.5122,17.8,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,17000,257.38,144.527,0.063372,0.4638,17.7,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,18000,272.37,144.916,0.062794,0.5041,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,19000,287.37,144.8,0.062357,0.4871,18.0,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,20000,302.6,144.509,0.061942,0.4394,17.7,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,21000,317.69,144.176,0.061601,0.4679,17.9,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,22000,332.98,144.253,0.061336,0.4603,17.6,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,23000,348.02,144.533,0.061002,0.4235,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,24000,363.22,144.068,0.061076,0.415,17.8,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,25000,378.26,144.635,0.060617,0.4293,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,26000,393.33,144.083,0.060524,0.4179,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,27000,408.61,144.15,0.060195,0.4129,17.6,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,28000,423.65,144.694,0.060013,0.3895,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,29000,438.73,144.2,0.059652,0.3841,17.8,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,30000,453.96,144.56,0.05957,0.3936,17.6,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,31000,469.03,144.418,0.059213,0.3804,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,32000,484.36,144.664,0.059173,0.3696,17.6,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,33000,499.39,144.502,0.059031,0.3625,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,34000,514.46,144.448,0.059118,0.3642,17.8,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,35000,529.57,144.121,0.058868,0.3581,17.8,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,36000,544.61,144.3,0.058608,0.3497,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,37000,559.86,144.491,0.058609,0.3666,17.7,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,38000,574.9,144.382,0.058578,0.3436,18.0,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,39000,589.97,144.172,0.058459,0.3314,17.8,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,40000,605.33,144.348,0.058188,0.3433,17.6,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,41000,620.44,143.995,0.058239,0.3514,17.8,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,42000,635.64,144.591,0.058192,0.3356,17.7,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,43000,650.66,144.8,0.058094,0.324,18.0,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,44000,665.64,144.948,0.057969,0.3169,17.9,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,45000,680.84,144.657,0.057806,0.3113,17.8,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,46000,695.67,144.645,0.057617,0.311,18.1,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,47000,710.97,144.731,0.057616,0.3145,17.7,4.74,0.043
Google Colab G4 NVIDIA RTX 6000,48000,726.03,144.3,0.057506,0.321,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,49000,741.04,144.661,0.057362,0.299,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,50000,756.29,144.463,0.05745,0.2983,17.8,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,51000,771.32,144.532,0.057349,0.2898,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,52000,786.54,144.711,0.057205,0.2916,17.7,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,53000,801.54,144.76,0.057188,0.277,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,54000,816.58,144.563,0.056932,0.2831,17.8,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,55000,831.92,144.449,0.05702,0.2727,17.7,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,56000,846.94,144.66,0.057003,0.2755,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,57000,861.93,144.74,0.056738,0.266,18.0,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,58000,876.97,144.757,0.056777,0.2627,17.8,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,59000,892.02,144.502,0.057009,0.2703,18.0,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,60000,907.26,144.529,0.056604,0.2544,17.7,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,61000,922.29,144.459,0.056722,0.2586,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,62000,937.59,144.204,0.056628,0.2495,17.8,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,63000,952.82,143.756,0.056786,0.2423,17.7,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,64000,967.9,144.241,0.056682,0.2459,18.0,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,65000,983.1,144.802,0.056544,0.2333,17.7,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,66000,998.1,144.758,0.056462,0.2353,18.0,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,67000,1013.13,144.719,0.056337,0.2278,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,68000,1028.15,144.742,0.056265,0.222,17.9,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,69000,1043.14,144.926,0.056454,0.2222,18.0,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,70000,1058.35,144.686,0.056368,0.2184,17.7,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,71000,1073.51,144.2,0.056401,0.2113,17.9,4.74,0.043
Google Colab G4 NVIDIA RTX 6000,72000,1088.79,144.061,0.056212,0.21,17.6,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,73000,1103.79,144.57,0.056439,0.2068,17.9,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,74000,1118.81,144.664,0.056154,0.2108,18.1,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,75000,1134.06,144.434,0.056178,0.2058,17.7,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,76000,1149.06,144.579,0.056112,0.2004,18.0,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,77000,1164.1,144.456,0.056098,0.1988,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,78000,1179.12,144.539,0.05584,0.1898,18.0,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,79000,1194.3,144.376,0.056236,0.1917,17.7,4.74,0.043
Google Colab G4 NVIDIA RTX 6000,80000,1209.55,144.747,0.055979,0.1855,17.6,4.74,0.043
Google Colab G4 NVIDIA RTX 6000,81000,1224.56,144.647,0.05595,0.1833,18.0,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,82000,1239.82,144.37,0.05598,0.1795,17.6,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,83000,1254.87,144.375,0.05602,0.1785,18.0,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,84000,1269.9,144.645,0.055884,0.1709,17.9,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,85000,1285.12,144.781,0.055808,0.1685,17.7,4.78,0.043
Google Colab G4 NVIDIA RTX 6000,86000,1300.25,144.378,0.056047,0.1665,17.9,4.73,0.043
Google Colab G4 NVIDIA RTX 6000,87000,1315.33,144.179,0.056157,0.1643,17.8,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,88000,1330.34,144.572,0.05579,0.1584,18.0,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,89000,1345.31,144.879,0.055933,0.1564,17.9,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,90000,1360.57,144.225,0.055934,0.1528,17.8,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,91000,1375.62,144.695,0.055847,0.1523,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,92000,1390.81,144.892,0.055767,0.1497,17.7,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,93000,1405.87,144.444,0.055954,0.1469,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,94000,1421.02,144.482,0.055731,0.1439,17.8,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,95000,1436.23,144.582,0.055996,0.1402,17.8,4.77,0.043
Google Colab G4 NVIDIA RTX 6000,96000,1451.24,144.905,0.055954,0.1402,17.9,4.76,0.043
Google Colab G4 NVIDIA RTX 6000,97000,1466.28,144.325,0.055855,0.1383,18.0,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,98000,1481.31,144.508,0.055743,0.1363,17.9,4.75,0.043
Google Colab G4 NVIDIA RTX 6000,99000,1496.36,144.264,0.055741,0.1363,17.9,4.75,0.043
