iteration,loss,bps,grad_norm
1000,0.328291,50.827,1.8053
2000,0.13341,50.978,0.1014
3000,0.106045,50.992,0.126
4000,0.09251,50.921,0.1872
5000,0.084603,50.882,0.2826
6000,0.078985,50.946,0.3803
7000,0.075625,50.927,0.435
8000,0.072976,50.518,0.44
9000,0.071135,50.6,0.5494
10000,0.069491,50.826,0.5665
11000,0.067731,50.91,0.5232
12000,0.06676,50.976,0.5809
13000,0.065912,50.96,0.5446
14000,0.06509,50.973,0.5414
15000,0.064415,50.936,0.497
16000,0.06366,50.94,0.4954
17000,0.063379,50.938,0.4924
18000,0.062813,50.936,0.488
19000,0.062344,50.958,0.4829
20000,0.061945,50.959,0.4347
21000,0.061602,50.935,0.4464
22000,0.061297,50.835,0.4526
23000,0.060969,50.986,0.4699
24000,0.061068,51.023,0.4347
25000,0.060605,51.128,0.4069
26000,0.060501,51.1,0.4083
27000,0.060199,51.121,0.3983
28000,0.060019,51.146,0.4056
29000,0.05966,51.105,0.4118
30000,0.059587,50.873,0.3702
31000,0.059221,50.69,0.4032
32000,0.059193,49.983,0.389
33000,0.059028,49.43,0.3968
34000,0.059156,49.253,0.3602
35000,0.058895,49.277,0.3616
36000,0.058625,49.23,0.36
37000,0.058634,49.201,0.3579
38000,0.058609,49.256,0.3459
39000,0.058469,49.199,0.332
40000,0.058207,49.197,0.3457
41000,0.058265,49.209,0.3308
42000,0.058203,49.2,0.3378
43000,0.058124,49.229,0.3335
44000,0.057983,49.174,0.3124
45000,0.057824,49.133,0.3102
46000,0.057631,49.149,0.3152
47000,0.057622,49.138,0.3111
48000,0.057514,49.127,0.3169
49000,0.057376,49.138,0.308
50000,0.057468,49.053,0.2885
51000,0.057375,49.157,0.2896
52000,0.057212,49.128,0.2965
53000,0.057217,49.075,0.287
54000,0.056958,49.449,0.2811
55000,0.057037,49.63,0.2811
56000,0.057027,49.707,0.2708
57000,0.056751,49.84,0.259
58000,0.056792,49.822,0.2712
59000,0.05703,48.914,0.2557
60000,0.056619,48.789,0.2537
61000,0.056734,48.886,0.254
62000,0.056655,48.851,0.251
63000,0.056801,48.768,0.2346
64000,0.056698,48.717,0.2378
65000,0.056563,48.769,0.2349
66000,0.056483,48.741,0.2318
67000,0.056363,48.759,0.2298
68000,0.056293,48.726,0.2245
69000,0.056483,48.764,0.2264
70000,0.056387,48.67,0.2215
71000,0.056418,48.295,0.2136
72000,0.056236,47.716,0.2091
73000,0.056465,47.872,0.2089
74000,0.056188,47.8,0.2123
75000,0.05619,48.097,0.2058
76000,0.056129,48.331,0.198
77000,0.056124,47.91,0.1984
78000,0.05586,48.325,0.1868
79000,0.056256,48.354,0.1903
80000,0.055988,48.347,0.1852
81000,0.055974,48.374,0.1839
82000,0.056003,48.41,0.1813
83000,0.056033,48.238,0.179
84000,0.055903,48.36,0.1683
85000,0.055836,48.336,0.168
86000,0.056057,48.34,0.1641
87000,0.056181,48.33,0.1628
88000,0.055816,48.357,0.1589
89000,0.055948,48.327,0.1569
90000,0.055953,48.326,0.1531
91000,0.055868,48.308,0.1513
92000,0.055777,48.291,0.1487
93000,0.055976,48.36,0.1476
94000,0.055746,48.334,0.1442
95000,0.056025,48.267,0.1411
96000,0.055976,48.293,0.1396
97000,0.055886,48.335,0.1377
98000,0.055755,48.313,0.1359
99000,0.055765,48.355,0.1351
100000,0.055841,48.394,0.1343
