iteration,loss,bps,grad_norm
1000,0.524518,99.405,0.794
2000,0.219441,102.405,0.1261
3000,0.172118,102.092,0.1135
4000,0.152234,102.274,0.1089
5000,0.141352,101.744,0.1083
6000,0.133667,101.638,0.1064
7000,0.12683,101.186,0.1057
8000,0.12096,100.95,0.1055
9000,0.115516,100.617,0.1058
10000,0.110555,100.762,0.1059
11000,0.106293,100.772,0.1068
12000,0.102631,101.057,0.1064
13000,0.099665,100.821,0.1045
14000,0.097417,100.958,0.105
15000,0.095286,101.192,0.105
16000,0.093947,100.963,0.1059
17000,0.092115,101.23,0.1048
18000,0.091133,100.94,0.1056
19000,0.089665,101.285,0.1054
20000,0.088846,100.914,0.106
21000,0.087226,100.992,0.1054
22000,0.086477,101.241,0.106
23000,0.085636,101.203,0.1046
24000,0.08516,101.112,0.1061
25000,0.08392,101.009,0.1051
26000,0.083985,100.849,0.1055
27000,0.083087,101.242,0.1044
28000,0.082292,100.981,0.1053
29000,0.082239,101.102,0.1058
30000,0.080822,100.972,0.1047
31000,0.080633,100.276,0.1055
32000,0.080819,100.85,0.1053
33000,0.08003,100.723,0.1047
34000,0.079671,100.699,0.1058
35000,0.078883,100.843,0.1047
36000,0.079776,100.873,0.1057
37000,0.07831,100.689,0.1047
38000,0.077932,98.82,0.1041
39000,0.077924,101.014,0.1044
40000,0.077753,100.696,0.1045
41000,0.076708,100.751,0.1036
42000,0.076638,100.922,0.104
43000,0.076426,100.833,0.1038
44000,0.076101,101.004,0.1038
45000,0.076055,100.773,0.1036
46000,0.076101,101.041,0.1038
47000,0.075424,101.072,0.1037
48000,0.0749,100.889,0.1021
49000,0.075102,101.042,0.1033
50000,0.074994,101.012,0.1035
51000,0.074964,101.136,0.1036
52000,0.074312,101.212,0.1038
53000,0.074337,100.975,0.1024
54000,0.074183,101.109,0.1031
55000,0.074029,101.374,0.1028
56000,0.073566,101.314,0.1026
57000,0.073566,101.076,0.1025
58000,0.073864,100.836,0.1029
59000,0.073445,100.67,0.1033
60000,0.073135,100.98,0.1032
61000,0.072802,101.211,0.1023
62000,0.073008,101.142,0.1032
63000,0.072984,100.844,0.1032
64000,0.072842,101.046,0.102
65000,0.072754,101.032,0.1028
66000,0.072976,100.978,0.1022
67000,0.072649,101.261,0.1027
68000,0.072737,101.034,0.1028
69000,0.072206,101.115,0.102
70000,0.072449,100.876,0.1022
71000,0.07258,101.209,0.103
72000,0.071791,100.376,0.1017
73000,0.072226,101.104,0.1017
74000,0.072341,100.923,0.1029
75000,0.071487,101.41,0.1016
76000,0.07208,101.425,0.1019
77000,0.071722,101.123,0.1019
78000,0.071802,101.1,0.1013
79000,0.071798,100.348,0.102
80000,0.07221,101.019,0.1018
81000,0.071899,101.418,0.1018
82000,0.071786,101.576,0.1014
83000,0.071017,101.189,0.1005
84000,0.071586,101.614,0.1014
85000,0.071552,101.507,0.1024
86000,0.071775,101.656,0.1004
87000,0.071609,101.51,0.1012
88000,0.071285,101.355,0.101
89000,0.070966,101.223,0.1006
90000,0.071508,101.371,0.1008
91000,0.071556,101.288,0.1006
92000,0.071427,101.476,0.101
93000,0.071781,101.549,0.101
94000,0.072116,100.94,0.101
95000,0.071413,101.52,0.1003
96000,0.071606,101.54,0.1005
97000,0.071408,101.584,0.1009
98000,0.071445,101.318,0.0998
99000,0.0715,101.469,0.1006
100000,0.071318,101.112,0.1005
