iteration,loss,bps,grad_norm
1000,0.567983,103.353,0.883
2000,0.209392,103.471,0.1291
3000,0.166223,106.443,0.1146
4000,0.147434,96.378,0.1104
5000,0.135995,107.568,0.1116
6000,0.128377,103.97,0.1128
7000,0.12157,105.314,0.1151
8000,0.115792,105.741,0.1182
9000,0.11052,105.64,0.1221
10000,0.105873,105.141,0.1272
11000,0.101951,104.977,0.1303
12000,0.098673,104.765,0.1329
13000,0.09606,104.867,0.1337
14000,0.094081,104.632,0.1355
15000,0.092198,104.632,0.1369
16000,0.091151,104.984,0.14
17000,0.089556,105.251,0.1396
18000,0.088842,105.217,0.14
19000,0.087502,105.145,0.1401
20000,0.08685,105.151,0.1406
21000,0.085454,104.631,0.1406
22000,0.084857,104.935,0.1414
23000,0.084132,105.394,0.1417
24000,0.083696,104.629,0.1419
25000,0.082653,105.151,0.1401
26000,0.082772,105.086,0.1409
27000,0.081998,104.854,0.1405
28000,0.08126,104.908,0.1408
29000,0.081274,105.121,0.1405
30000,0.07994,105.104,0.1406
31000,0.079778,104.933,0.14
32000,0.079998,105.075,0.1402
33000,0.079325,105.119,0.1398
34000,0.078981,103.683,0.1416
35000,0.078207,104.556,0.1393
36000,0.079158,104.509,0.1397
37000,0.077687,104.822,0.1394
38000,0.077418,104.776,0.1384
39000,0.077414,104.817,0.1392
40000,0.077223,104.951,0.1389
41000,0.076225,104.582,0.1368
42000,0.076126,104.92,0.1379
43000,0.07603,105.053,0.1379
44000,0.075668,104.999,0.1373
45000,0.075662,105.074,0.1375
46000,0.075683,104.704,0.1372
47000,0.075041,104.721,0.1381
48000,0.074514,104.954,0.1357
49000,0.074794,105.028,0.1368
50000,0.07466,105.082,0.1369
51000,0.074635,104.388,0.1376
52000,0.07397,104.271,0.1368
53000,0.074083,102.913,0.1359
54000,0.073897,104.481,0.1359
55000,0.073737,104.785,0.1358
56000,0.073264,104.8,0.1348
57000,0.073315,104.867,0.1357
58000,0.073592,104.779,0.136
59000,0.073127,104.867,0.1364
60000,0.072945,104.533,0.1371
61000,0.072561,104.853,0.1348
62000,0.072679,105.163,0.1357
63000,0.072694,104.886,0.1361
64000,0.072561,105.07,0.1349
65000,0.072469,104.97,0.1358
66000,0.072733,104.54,0.1346
67000,0.072322,104.974,0.1352
68000,0.072468,104.701,0.1357
69000,0.071967,104.957,0.1341
70000,0.072234,105.012,0.1348
71000,0.072298,104.511,0.135
72000,0.071535,104.796,0.1333
73000,0.071908,104.794,0.1335
74000,0.072119,104.871,0.1347
75000,0.071224,104.668,0.1337
76000,0.0718,104.91,0.1335
77000,0.071433,104.846,0.1336
78000,0.071517,105.009,0.1326
79000,0.071504,104.875,0.134
80000,0.071862,104.822,0.1331
81000,0.071605,99.912,0.1334
82000,0.071507,104.297,0.1327
83000,0.070759,104.99,0.1316
84000,0.071303,105.143,0.1328
85000,0.071239,105.142,0.1338
86000,0.071463,105.288,0.1314
87000,0.071267,105.157,0.132
88000,0.070984,105.213,0.1315
89000,0.070656,104.934,0.1314
90000,0.071177,105.32,0.1309
91000,0.071246,105.062,0.1311
92000,0.07109,105.447,0.1315
93000,0.071412,105.305,0.1312
94000,0.071808,105.153,0.131
95000,0.07111,105.295,0.1313
96000,0.071298,105.174,0.1309
97000,0.071072,104.904,0.1318
98000,0.07115,105.593,0.1302
99000,0.071151,105.456,0.1305
100000,0.070973,105.302,0.1301
