iteration,loss,bps,grad_norm
1000,0.569615,102.411,0.8782
2000,0.219084,103.126,0.1266
3000,0.171102,103.339,0.1124
4000,0.151736,103.232,0.1076
5000,0.141033,103.242,0.1068
6000,0.13373,103.002,0.1056
7000,0.127128,102.371,0.1049
8000,0.121434,102.092,0.1043
9000,0.115944,101.93,0.1052
10000,0.110864,102.152,0.1053
11000,0.106516,101.015,0.1059
12000,0.10273,102.184,0.106
13000,0.099677,102.026,0.1047
14000,0.097348,101.847,0.1053
15000,0.095177,98.679,0.1051
16000,0.093836,100.77,0.1064
17000,0.09205,100.916,0.1056
18000,0.091051,100.899,0.1056
19000,0.089556,100.997,0.1056
20000,0.088735,100.965,0.1063
21000,0.087186,101.068,0.1056
22000,0.086425,100.948,0.1061
23000,0.08561,100.634,0.1057
24000,0.085091,100.338,0.1061
25000,0.083884,101.024,0.1053
26000,0.08393,100.875,0.106
27000,0.083076,101.199,0.1047
28000,0.082279,100.536,0.1052
29000,0.082191,100.833,0.1062
30000,0.080807,100.986,0.1051
31000,0.080502,100.806,0.1056
32000,0.080707,101.082,0.1057
33000,0.079982,100.671,0.1048
34000,0.079611,101.086,0.106
35000,0.078793,96.525,0.1049
36000,0.079672,101.039,0.106
37000,0.078214,101.006,0.1052
38000,0.077858,100.672,0.1042
39000,0.077823,100.954,0.1051
40000,0.077652,100.931,0.1047
41000,0.076545,100.652,0.1039
42000,0.07655,100.899,0.1043
43000,0.076317,100.712,0.1039
44000,0.07603,100.837,0.1045
45000,0.07593,101.033,0.1044
46000,0.076008,100.792,0.1045
47000,0.075282,100.904,0.1041
48000,0.07478,100.658,0.1028
49000,0.07504,101.099,0.1033
50000,0.074917,101.233,0.1038
51000,0.074844,100.868,0.1044
52000,0.074218,100.78,0.1039
53000,0.074304,100.431,0.103
54000,0.074105,100.933,0.1032
55000,0.073959,101.002,0.1031
56000,0.073477,100.529,0.1028
57000,0.073477,100.891,0.1027
58000,0.073785,100.847,0.1034
59000,0.073365,100.704,0.104
60000,0.073116,100.772,0.1037
61000,0.072749,100.556,0.1023
62000,0.072871,100.989,0.1032
63000,0.072875,100.585,0.1035
64000,0.072742,101.014,0.1023
65000,0.07266,101.006,0.1033
66000,0.072909,100.888,0.1027
67000,0.072539,100.92,0.1026
68000,0.072682,100.842,0.1032
69000,0.072161,100.262,0.1024
70000,0.072386,101.173,0.1025
71000,0.072453,100.819,0.1034
72000,0.071736,101.048,0.102
73000,0.072098,100.553,0.1019
74000,0.072294,100.909,0.103
75000,0.071429,101.106,0.102
76000,0.071989,101.101,0.1022
77000,0.071651,101.139,0.1019
78000,0.071725,101.218,0.1015
79000,0.071679,101.243,0.1026
80000,0.072076,101.325,0.1021
81000,0.071863,100.832,0.1027
82000,0.071685,101.175,0.1019
83000,0.070943,100.881,0.1011
84000,0.071524,101.278,0.102
85000,0.071464,100.859,0.1028
86000,0.071694,101.167,0.1008
87000,0.071552,98.901,0.1016
88000,0.071239,101.093,0.1013
89000,0.070897,101.497,0.101
90000,0.07142,101.45,0.1008
91000,0.071444,101.216,0.1009
92000,0.071312,101.251,0.1013
93000,0.071653,101.613,0.1015
94000,0.07204,101.508,0.101
95000,0.071376,101.433,0.1007
96000,0.071553,101.487,0.1009
97000,0.071342,101.126,0.1014
98000,0.071375,101.237,0.1005
99000,0.071399,101.512,0.1008
100000,0.071252,101.4,0.1006
