iteration,loss,bps,grad_norm
1000,0.521594,106.416,0.7992
2000,0.208921,107.384,0.1291
3000,0.165767,107.304,0.1152
4000,0.147824,107.55,0.1124
5000,0.136341,107.345,0.1146
6000,0.128407,107.388,0.1156
7000,0.121461,107.367,0.1181
8000,0.115586,107.456,0.1217
9000,0.110343,107.48,0.1257
10000,0.105898,107.325,0.1298
11000,0.102095,106.385,0.1329
12000,0.098908,107.051,0.1356
13000,0.096329,106.815,0.1365
14000,0.09437,106.685,0.138
15000,0.092521,106.803,0.1392
16000,0.091465,106.396,0.1423
17000,0.089883,106.504,0.1411
18000,0.089146,106.366,0.1419
19000,0.087811,106.279,0.1427
20000,0.087168,106.139,0.1432
21000,0.085786,105.213,0.1432
22000,0.085216,106.094,0.1437
23000,0.084514,105.951,0.1442
24000,0.084152,105.964,0.1454
25000,0.083063,106.297,0.143
26000,0.083198,106.396,0.1438
27000,0.082444,106.281,0.1434
28000,0.08177,106.362,0.1435
29000,0.08176,106.249,0.1439
30000,0.080503,106.541,0.1428
31000,0.080406,104.684,0.1441
32000,0.080651,106.502,0.1434
33000,0.079951,106.614,0.1423
34000,0.079675,106.386,0.1452
35000,0.078937,106.324,0.142
36000,0.079847,106.219,0.1431
37000,0.078474,106.286,0.1424
38000,0.078223,106.441,0.1421
39000,0.078229,106.439,0.1427
40000,0.078105,106.39,0.1434
41000,0.077078,105.245,0.1404
42000,0.07709,106.309,0.1417
43000,0.07686,106.119,0.1409
44000,0.076599,106.326,0.1408
45000,0.076568,106.355,0.1406
46000,0.076651,106.291,0.1415
47000,0.075967,106.299,0.1418
48000,0.075492,106.317,0.1387
49000,0.075752,106.166,0.1407
50000,0.07557,106.207,0.1398
51000,0.075599,105.267,0.1416
52000,0.074955,106.311,0.1395
53000,0.07503,105.502,0.1395
54000,0.074889,106.514,0.1394
55000,0.074726,106.69,0.1395
56000,0.074275,106.408,0.1384
57000,0.074295,106.087,0.1388
58000,0.074533,106.224,0.1387
59000,0.0741,106.765,0.139
60000,0.073892,106.437,0.1402
61000,0.073486,105.665,0.1384
62000,0.073718,106.427,0.1387
63000,0.073683,106.397,0.1392
64000,0.073535,106.635,0.1376
65000,0.073466,106.277,0.1389
66000,0.073741,106.323,0.1381
67000,0.073361,106.293,0.1387
68000,0.073436,106.295,0.1387
69000,0.072916,106.488,0.1373
70000,0.073203,106.388,0.1385
71000,0.073264,105.484,0.1385
72000,0.072515,106.993,0.1366
73000,0.072938,106.551,0.1367
74000,0.073067,106.28,0.1381
75000,0.072218,106.551,0.1365
76000,0.072811,107.193,0.1369
77000,0.072452,106.928,0.137
78000,0.072475,106.975,0.1354
79000,0.072476,107.029,0.1369
80000,0.072846,106.703,0.1362
81000,0.072606,106.096,0.1367
82000,0.072452,107.072,0.1357
83000,0.071727,106.801,0.1341
84000,0.072314,107.009,0.1358
85000,0.072198,103.718,0.1368
86000,0.072432,100.296,0.1339
87000,0.072294,99.417,0.1349
88000,0.071948,101.902,0.1342
89000,0.071628,107.114,0.1342
90000,0.072172,107.806,0.1338
91000,0.072224,103.933,0.1338
92000,0.072081,102.702,0.1347
93000,0.072371,105.494,0.1342
94000,0.072774,105.654,0.1341
95000,0.072084,105.312,0.1336
96000,0.072243,105.71,0.1335
97000,0.072068,105.669,0.1342
98000,0.072072,105.482,0.1323
99000,0.07212,105.719,0.1334
100000,0.071961,105.731,0.1332
